date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:49:52	999/999	---M--	200	added ('OK')	image/svg+xml	etag:%228221698a31683ea92d21ca8b3042ef04-ssl%22	https://robovission.netlify.app/img/svg/bg_hero2.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/svg/bg_hero2.svg	(from https://robovission.netlify.app/css/style.css)
00:49:52	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/bg-img/header3.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/header3.png	(from https://robovission.netlify.app/css/style.css)
00:49:53	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/bg-img/banner-bg.jpg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/banner-bg.jpg	(from https://robovission.netlify.app/css/style.css)
00:49:53	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/bg-img/tringle.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/tringle.png	(from https://robovission.netlify.app/css/style.css)
00:49:53	166714/166714	---M--	200	added ('OK')	image/jpeg	etag:%22a5f011190a303c37a7fa340728ff29c6-ssl%22	https://robovission.netlify.app/img/bg-img/h-sec.jpg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/h-sec.jpg	(from https://robovission.netlify.app/css/style.css)
00:49:53	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/bg-img/trans.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/trans.png	(from https://robovission.netlify.app/css/style.css)
00:49:53	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/core-img/hero-bg.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/core-img/hero-bg.png	(from https://robovission.netlify.app/css/style.css)
00:49:53	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/core-img/robot-1.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/core-img/robot-1.png	(from https://robovission.netlify.app/css/style.css)
00:49:54	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/core-img/robot-2.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/core-img/robot-2.png	(from https://robovission.netlify.app/css/style.css)
00:49:54	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/svg/head-bg-1.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/svg/head-bg-1.svg	(from https://robovission.netlify.app/css/style.css)
00:49:54	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/bg-img/header-1.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/header-1.png	(from https://robovission.netlify.app/css/style.css)
00:49:54	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/core-img/video-btn-bg.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/core-img/video-btn-bg.png	(from https://robovission.netlify.app/css/style.css)
00:49:55	431/431	---M--	200	added ('OK')	image/svg+xml	etag:%22c4818217f14d4f895cf286731f07b1fb-ssl%22	https://robovission.netlify.app/img/svg/benefits-bg.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/svg/benefits-bg.svg	(from https://robovission.netlify.app/css/style.css)
00:49:55	1523/1523	---M-Z	200	added ('OK')	image/svg+xml	etag:%2224e9519ec6abb175c88b4c34b97ce6bd-ssl-df%22	https://robovission.netlify.app/img/svg/hex-pattern.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/svg/hex-pattern.svg	(from https://robovission.netlify.app/css/style.css)
00:49:55	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/core-img/about-1.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/core-img/about-1.png	(from https://robovission.netlify.app/css/style.css)
00:49:55	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/core-img/faq.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/core-img/faq.png	(from https://robovission.netlify.app/css/style.css)
00:49:56	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/core-img/saas4.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/core-img/saas4.png	(from https://robovission.netlify.app/css/style.css)
00:49:56	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/core-img/travel.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/core-img/travel.png	(from https://robovission.netlify.app/css/style.css)
00:49:56	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/core-img/pizza-header.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/core-img/pizza-header.png	(from https://robovission.netlify.app/css/style.css)
00:49:56	913/913	---M--	200	added ('OK')	image/svg+xml	etag:%226db7a6fbd0a9d136687ac9bcf0946696-ssl%22	https://robovission.netlify.app/img/svg/hex-pattern2.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/svg/hex-pattern2.svg	(from https://robovission.netlify.app/css/style.css)
00:49:57	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/css/video/video-frame.PNG	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/css/video/video-frame.PNG	(from https://robovission.netlify.app/css/style.css)
00:49:57	1370/1370	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f31d8d1d9f5d8b328596cddcd7e19fbc-ssl-df%22	https://robovission.netlify.app/img/svg/section-bg.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/svg/section-bg.svg	(from https://robovission.netlify.app/css/style.css)
00:49:57	22915/22915	---M--	200	added ('OK')	image/png	etag:%22ca8c5e8140aded8b5bf5dd7832ef5639-ssl%22	https://robovission.netlify.app/img/bg-img/section-bg.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/section-bg.png	(from https://robovission.netlify.app/css/style.css)
00:49:57	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/bg-img/header6.jpg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/header6.jpg	(from https://robovission.netlify.app/css/style.css)
00:49:58	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/svg/ai-illustration.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/svg/ai-illustration.svg	(from https://robovission.netlify.app/css/style.css)
00:49:59	6715/6715	---M--	200	added ('OK')	image/png	etag:%22fecdf4173c6569ca694d88843af4733a-ssl%22	https://robovission.netlify.app/img/bg-img/bread-bg.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/bread-bg.png	(from https://robovission.netlify.app/css/style.css)
00:49:59	1402/1402	---M-Z	200	added ('OK')	image/svg+xml	etag:%22573b6ed5952cff1c02bd2df336d8f28d-ssl-df%22	https://robovission.netlify.app/img/svg/checkmark.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/svg/checkmark.svg	(from https://robovission.netlify.app/css/style.css)
00:50:00	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/core-img/wave-shap.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/core-img/wave-shap.png	(from https://robovission.netlify.app/css/style.css)
00:50:00	290653/290653	---M--	200	added ('OK')	image/png	etag:%2291649909fab9e6e8dda615731386ac7e-ssl%22	https://robovission.netlify.app/img/bg-img/about-sec.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/about-sec.png	(from https://robovission.netlify.app/css/style.css)
00:50:00	108952/108952	---M--	200	added ('OK')	image/png	etag:%2225c6807f9c7ea391a2a7f98383b59b8b-ssl%22	https://robovission.netlify.app/img/core-img/cards-bg.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/core-img/cards-bg.png	(from https://robovission.netlify.app/css/style.css)
00:50:00	1939/1939	---M-Z	200	added ('OK')	image/svg+xml	etag:%229f6c84e5cc3629a34c2d605c84f7d4af-ssl-df%22	https://robovission.netlify.app/img/svg/download-bg2.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/svg/download-bg2.svg	(from https://robovission.netlify.app/css/style.css)
00:50:01	6423/6423	---M-Z	200	added ('OK')	image/svg+xml	etag:%226c13cbac60cbf22367fa028dfe3e89fd-ssl-df%22	https://robovission.netlify.app/img/svg/download-bg3.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/svg/download-bg3.svg	(from https://robovission.netlify.app/css/style.css)
00:50:01	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/svg/pdf.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/svg/pdf.svg	(from https://robovission.netlify.app/css/style.css)
00:50:01	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/svg/view.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/svg/view.svg	(from https://robovission.netlify.app/css/style.css)
00:50:01	18374/18374	---M-Z	200	added ('OK')	text/html	etag:%227a48663d14042f3f5420d0e73df2b5e1-ssl-df%22	https://robovission.netlify.app/index-blog.html	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/index-blog.html	(from https://robovission.netlify.app/index-demo-1.html)
00:50:02	241535/241535	---M--	200	added ('OK')	image/png	etag:%227469b395ce353e3f137dafc1c7cc0d37-ssl%22	https://robovission.netlify.app/img/bg-img/footer-bg.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/footer-bg.png	(from https://robovission.netlify.app/css/style.css)
00:50:02	23539/23539	---M-Z	200	added ('OK')	text/html	etag:%22edb3046f1295f0e9e13edb0494900ede-ssl-df%22	https://robovission.netlify.app/index-blog-with-sidebar.html	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/index-blog-with-sidebar.html	(from https://robovission.netlify.app/index-demo-1.html)
00:50:02	24498/24498	---M-Z	200	added ('OK')	text/html	etag:%22cc47950d29542eea1bf4802579f42a55-ssl-df%22	https://robovission.netlify.app/index-single-blog.html	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/index-single-blog.html	(from https://robovission.netlify.app/index-demo-1.html)
00:50:02	13470/13470	---M-Z	200	added ('OK')	text/html	etag:%22a3da2bd041d6300576b487c9c37883ea-ssl-df%22	https://robovission.netlify.app/contact-us.html	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/contact-us.html	(from https://robovission.netlify.app/index-demo-1.html)
00:50:03	221051/221051	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f856f3e449efb5e09f91f27ce86f8b50-ssl-df%22	https://robovission.netlify.app/img/svg/header-1.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/svg/header-1.svg	(from https://robovission.netlify.app/index-demo-1.html)
